Cluster ID,Cluster Name,Year,Count
3,System_Architecture_and_Documentation,1909,8
3,System_Architecture_and_Documentation,1910,4
3,System_Architecture_and_Documentation,1911,5
3,System_Architecture_and_Documentation,1912,12
3,System_Architecture_and_Documentation,1913,9
3,System_Architecture_and_Documentation,1914,5
3,System_Architecture_and_Documentation,1915,6
3,System_Architecture_and_Documentation,1916,5
3,System_Architecture_and_Documentation,1917,8
3,System_Architecture_and_Documentation,1918,1
3,System_Architecture_and_Documentation,1919,3
3,System_Architecture_and_Documentation,1920,11
3,System_Architecture_and_Documentation,1921,11
3,System_Architecture_and_Documentation,1922,5
3,System_Architecture_and_Documentation,1923,22
3,System_Architecture_and_Documentation,1924,15
3,System_Architecture_and_Documentation,1925,14
3,System_Architecture_and_Documentation,1926,6
3,System_Architecture_and_Documentation,1927,22
3,System_Architecture_and_Documentation,1928,16
3,System_Architecture_and_Documentation,1929,26
3,System_Architecture_and_Documentation,1930,16
3,System_Architecture_and_Documentation,1931,19
3,System_Architecture_and_Documentation,1932,25
3,System_Architecture_and_Documentation,1933,21
3,System_Architecture_and_Documentation,1934,13
3,System_Architecture_and_Documentation,1935,19
3,System_Architecture_and_Documentation,1936,24
3,System_Architecture_and_Documentation,1937,22
3,System_Architecture_and_Documentation,1938,15
3,System_Architecture_and_Documentation,1939,10
3,System_Architecture_and_Documentation,1940,9
3,System_Architecture_and_Documentation,1941,4
3,System_Architecture_and_Documentation,1942,6
3,System_Architecture_and_Documentation,1943,5
3,System_Architecture_and_Documentation,1944,4
3,System_Architecture_and_Documentation,1945,8
3,System_Architecture_and_Documentation,1946,5
3,System_Architecture_and_Documentation,1947,9
3,System_Architecture_and_Documentation,1948,10
3,System_Architecture_and_Documentation,1949,10
3,System_Architecture_and_Documentation,1950,9
3,System_Architecture_and_Documentation,1951,8
3,System_Architecture_and_Documentation,1952,12
3,System_Architecture_and_Documentation,1953,16
3,System_Architecture_and_Documentation,1954,13
3,System_Architecture_and_Documentation,1955,35
3,System_Architecture_and_Documentation,1956,16
3,System_Architecture_and_Documentation,1957,21
3,System_Architecture_and_Documentation,1958,13
3,System_Architecture_and_Documentation,1959,21
3,System_Architecture_and_Documentation,1960,33
3,System_Architecture_and_Documentation,1961,15
